vidio_id,name,group,image,url,dm,rctiplus,twitch,usee
0,antv,nasional,https://i.postimg.cc/DyWXD5DD/antv.png,http://210.210.155.35/qwr9ew/s/s07/02.m3u8,,,,
0,tvone,nasional,https://i.postimg.cc/NfQYBP49/105261-logo-tvone-665-374.jpg,,k2uDgtBgdyXR1AoH4XD,,,
204,sctv,nasional,https://i.postimg.cc/B6ZFwp58/sctv.png,,,,,
665,rcti,nasional,https://i.postimg.cc/13Nm4VLb/20191010-164600.png,,,rcti,,
0,trans tv,nasional,https://i.postimg.cc/J7JSycnN/logo-transtv-big1.png,https://video.detik.com/transtv/smil:transtv.smil/playlist.m3u8,,,,transtv
0,trans 7,nasional,https://i.postimg.cc/YCfxSb39/trans7.png,https://video.detik.com/trans7/smil:trans7.smil/playlist.m3u8,,,,trans7
870,mnctv,nasional,https://i.postimg.cc/rw8620qS/20191026-003920.png,,,mnctv,,
778,gtv,nasional,https://i.postimg.cc/HsqNM8Hc/globaltv.png,,,gtv,,
777,metrotv,nasional,https://i.postimg.cc/QCYc7yzg/metrotv.png,,,,,metrotv
875,net,nasional,https://i.postimg.cc/28DMnbbP/logo-net-big1.png,,,,,net
205,indosiar,nasional,https://i.postimg.cc/QdwWh5Lt/indosiar.png,,,,,
5409,inews,nasional,https://i.postimg.cc/3r4RxmbC/inewstv.png,,,inews,,inews
1561,rtv,nasional,https://i.postimg.cc/fb172pW8/rajawalitv.png,,,,,rtv
874,kompas tv,nasional,https://i.postimg.cc/25hnd6BK/logo-kompastv-small.png,,,,,kompas
6441,tvri,nasional,https://i.postimg.cc/cL83ZHTL/logo-tvri-small1.png,,,,,tvri
6840,mola tv free,sport,https://i.postimg.cc/cCs7LSC5/2053221245.png,https://cdn-mola-primary-01.akamaized.net/Content/HLS/Live/channel(02d97239-cf8c-abac-8549-afd56a0b3924)/08.m3u8,,,,
0,jogja tv,local,https://i.postimg.cc/DznwDyMD/LOGO-JOGJA-TV-NEW-pii-new1.png,https://stream.jogjatv.co.id/jtvlive/stream/index.m3u8,,,,
0,TEGAR TV,local,https://i.postimg.cc/FRSCLN9r/14040386.jpg,http://wms.klikhost.com/tegartv/live/playlist.m3u8,,,,
0,TVRI DKI Jakarta,local,https://i.postimg.cc/cL83ZHTL/logo-tvri-small1.png,http://118.97.50.107/Content/HLS/Live/Channel(TVRIDKI)/Stream(03)/index.m3u8,,,,
0,TVRI Jakarta,local,https://i.imgur.com/VH7TANA.png,http://wpc.d1627.nucdn.net:80/80D1627/o-tvri/Content/HLS/Live/Channel(TVRIDKI)/Stream(03)/index.m3u8,,,,
0,TVRI Jawa Barat,local,https://i.postimg.cc/cL83ZHTL/logo-tvri-small1.png,http://118.97.50.107/Content/HLS/Live/Channel(TVRIJABARBANDUNG)/index.m3u8,,,,
0,TVRI Jawa Barat,local,https://i.imgur.com/tPvtrgk.png,http://118.97.50.107/Content/HLS/Live/Channel(TVRIJABARBANDUNG)/Stream(03)/index.m3u8,,,,
0,TVRI Jawa Tengah,local,https://i.postimg.cc/cL83ZHTL/logo-tvri-small1.png,http://118.97.50.107/Content/HLS/Live/Channel(TVRIJATENGSEMARANG)/index.m3u8,,,,
0,TVRI Jawa Timur,local,https://i.postimg.cc/cL83ZHTL/logo-tvri-small1.png,http://118.97.50.107/Content/HLS/Live/Channel(TVRIJATIMSURABAYA)/index.m3u8,,,,
0,TVRI Kanal 3,local,https://i.imgur.com/RIwYxS9.png,http://wpc.d1627.nucdn.net:80/80D1627/o-tvri/Content/HLS/Live/Channel(TVRI3)/Stream(03)/index.m3u8,,,,
0,TVRI Yogyakarta,local,https://i.postimg.cc/cL83ZHTL/logo-tvri-small1.png,http://118.97.50.107/Content/HLS/Live/Channel(TVRIYOGYAKARTA)/index.m3u8,,,,
0,CNBC Indonesia,news,https://upload.wikimedia.org/wikipedia/id/3/35/CNBC_Indonesia.png,https://live.cnbcindonesia.com/livecnbc/smil:cnbctv.smil/master.m3u8,,,,
0,CNN Indonesia,news,https://i.postimg.cc/NG7pqNFz/1200px-CNN-Indonesia-svg.png,https://live.cnnindonesia.com/livecnn/smil:cnntv.smil/playlist.m3u8,,,,
7687,SEA TV,news,https://i.postimg.cc/4NYX1rXH/1605703972662.jpg,,,,,seatoday
0,BeritaSatu,news,https://i.postimg.cc/W1f5Yhzp/14040323.png,https://b1news.beritasatumedia.com/Beritasatu/B1News_960x540.m3u8,,,,
7619,Musica,music,https://i.postimg.cc/sDHvjYg7/image.jpg,,,,,
0,Karaoke Channel,music,https://i.postimg.cc/C53XtK5f/zaltv.png,http://edge.linknetott.swiftserve.com/live/BSgroup/amlst:karaokech/playlist.m3u8,,,,
0,Music Top,music,https://i.postimg.cc/TYx2hPRP/logo200.jpg,https://live-edge01.telecentro.net.ar/live/smil:musictop.smil/playlist.m3u8,,,,
0,Radio 51 TV,music,https://i.postimg.cc/L8HsQ87W/Radio51-20-Music-TV-20133.png,https://59d7d6f47d7fc.streamlock.net/canale51/canale51/playlist.m3u8,,,,
0,RRI Net,music,https://pbs.twimg.com/media/DmaMDCBU8AAfd45.png,http://36.89.47.217:11935/rrinet/live/index.m3u8,,,,
206,Ochannel,nasional,https://i.postimg.cc/t4hQSbwJ/PT-OMNI-INTIVISION-OChannel-TV.jpg,,,,,
7464,Ajwa TV,nasional,https://i.postimg.cc/FFL4d0p0/Ajwa-TV.png,,,,,
5415,JakTV,nasional,https://i.postimg.cc/9frS3jNy/jaktv-official-86b4f8.webp,,,,,jaktv
6166,Oshop,nasional,https://i.postimg.cc/fRk5yfjN/oH6OuzvY.jpg,,,,,
6711,MyTV,nasional,https://i.postimg.cc/1zGF38TS/b47iT9f5.jpg,,,,,
7432,NusantaraTV,nasional,https://i.postimg.cc/Kv1ggqVJ/Nusantara-TV-Indonesia-o-727568.jpg,,,,,nusantaratv
6852,Al Quran Al Kareem TV,nasional,https://i.postimg.cc/nzwhFZHZ/channel-93.png,,,,,alquran
6482,DAAI TV,nasional,https://i.postimg.cc/Z5TnxwsG/1-DAAI-06.jpg,,,,,daaitv
7184,Ardan Radio,radio,https://i.postimg.cc/Zn77s7Fw/RQbm-G9-Gg-QY.png,,,,,
7443,Gen FM,radio,https://i.postimg.cc/3rncwN52/k9k-KLX6-VTr.png,,,,,
7004,Prambors,radio,https://i.postimg.cc/8PcnfGN9/Uq-Gj-K62g3-S.png,,,,,
7092,Delta FM,radio,https://i.postimg.cc/nMfjxZkr/hsw-FPayge-D.png,,,,,
7057,iradio,radio,https://i.postimg.cc/3rdqfGcW/mzq6cxcela9d.jpg,,,,,
7188,MGTRADIO,radio,https://mytuner.global.ssl.fastly.net/media/radios-150px/qVTEm9pFkN.jpg,,,,,
7166,Elshinta,radio,https://mytuner.global.ssl.fastly.net/media/radios-150px/y68tfmjnezj4.png,,,,,
7449,JakFM,radio,https://mytuner.global.ssl.fastly.net/media/radios-150px/xDzEedy6ka.png,,,,,
7053,Hard Rock,radio,https://mytuner.global.ssl.fastly.net/media/radios-150px/ANm8fKJ5nb.png,,,,,
7091,Bahana FM,radio,https://mytuner.global.ssl.fastly.net/media/radios-150px/t4lc5jhzvcry.png,,,,,
7216,Geronimo FM,radio,https://mytuner.global.ssl.fastly.net/media/radios-150px/chpcnjxyuchl.png,,,,,